2 x 4
53rd & 3rd
Ain't My Bitch
All Day and All of the Night
All Nightmare Long
All Within My Hands
All Your Lies
Am I Evil?
Am I Savage?
...And Justice for All
(Anesthesia) - Pulling Teeth
Astronomy
Atlas, Rise!
Attitude
Bad Seed
Battery
Better Than You
Blackened
Bleeding Me
Blitzkrieg
Brandenburg Gate
Breadfan
Broken, Beat & Scarred
Brothers in Arms
The Call of Ktulu
Carpe Diem Baby
The Chase Is Better Than the Catch
Cheat On Me
Clampdown
Commando
Confusion
Crash Course in Brain Surgery
Creeping Death
Cretin Hop
Cure
Cyanide
Damage, Inc.
Damage Case
The Day That Never Comes
Dead Kennedy Rolls
Detroit Rock City
Devil's Dance
Diary of a Madman
Die, Die My Darling
Dirty Window
Disposable Heroes
Don't Tread On Me
Dragon
Dream No More
Dyers Eve
The Ecstasy of Gold
The End of the Line
Enter Sandman
Escape
Eye of the Beholder
Fade to Black
Fight Fire with Fire
Fixxxer
For Whom the Bell Tolls
The Four Horsemen
Frantic
The Frayed Ends of Sanity
Free Speech for the Dumb
Frustration
Fuel
The God That Failed
Green Hell
Halo On Fire
Hardwired
Harvester of Sorrow
Hate Train
Head Injury
Hell and Back
Helpless
Here Comes Revenge
Hero of the Day
Hit the Lights
Hole in the Sky
Holier Than Thou
The House Jack Built
House of the Rising Sun
Iced Honey
I Disappear
I Just Want to Celebrate
In My Life
Instrumental Medley
Invisible Kid
Iron Man
It's Electric
The Judas Kiss
Jump in the Fire
Junior Dad
Just a Bullet Away
Justice Medley
Kill/Ride Medley
Killing Time
King Nothing
Last Caress/Green Hell
Last Caress
Leper Messiah
Let It Loose
Little Dog
London Dungeon
Lords of Summer
Loverman
Low Man's Lyric
Mama Said
ManUNkind
Master of Puppets
Mastertarium
The Mechanix
The Memory Remains
Mercyful Fate
Metal Militia
Human
Mistress Dread
The Money Will Roll Right In
The More I See
Moth Into Flame
Motorbreath
Motorcycle Man
Mr. Soul
mtv:ICON Medley
MTV: 20 Years of the VMA's Medley
Murder One
My Apocalypse
My Friend of Misery
My World
The New Song
No Leaf Clover
No Remorse
Nothing Else Matters
Now I Wanna Sniff Some Glue
Now That We're Dead
Of Wolf and Man
One
Only Happy When It Rains
Orion
The Other New Song
The Outlaw Torn
Overkill
Paranoid
Phantom Lord
Please Don't Judas Me
Poor Twisted Me
The Prince
Prince Charming
Pumping Blood
Purify
Rapid Fire
Rebel of Babylon
Remember Tomorrow
Ride the Lightning
Ronnie
Ronnie Rising Medley
Sabbra Cadabra
Sad But True
Seek and Destroy
Shoot Me Again
The Shortest Straw
Slither
The Small Hours
Some Kind of Monster
So What
Spit Out The Bone
St. Anger
Stone Cold Crazy
Stone Dead Forever
The Struggle Within
Sucking My Love
Suicide & Redemption
Sweet Amber
Sweet Jane
T.V. Eye
That Was Just Your Life
The Thing That Should Not Be
Thorn Within
Through the Never
Today Your Love, Tomorrow the World
To Live Is to Die
Too Late Too Late
The Train Kept-A-Rollin'
Trapped Under Ice
Tuesday's Gone
Turn the Page
The Unforgiven
The Unforgiven II
The Unforgiven III
The Unnamed Feeling
Until It Sleeps
Veteran of the Psychic Wars
The View
The Wait
Wasting My Hate
We're a Happy Family
(We Are) The Road Crew
We Did It Again
Welcome Home (Sanitarium)
When a Blind Man Cries
Where the Wild Things Are
Wherever I May Roam
Whiplash
Whiskey in the Jar
White Light/White Heat
Would?
You Really Got Me
